HospitalName,City,State,HospitalOwner,Condition,MeasureCode,MeasureName,Score,Sample,EmergencyService
marshall medical center north,guntersville,al,government - hospital district or authority,heart attack,ami-1,heart attack patients given aspirin at arrival,1,8,yes
marion regional medical center,hamilton,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,0.67,3,yes
hartselle medical center,hartselle,al,proprietary,heart attack,ami-1,heart attack patients given aspirin at arrival,1,6,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart attack,ami-1,heart attack patients given aspirin at arrival,0.98,155,yes
crenshaw community hospital,luverne,al,government - federal,heart attack,ami-1,heart attack patients given aspirin at arrival,0,1,yes
univ of south alabama medical center,mobile,al,government - state,heart attack,ami-1,heart attack patients given aspirin at arrival,0.99,86,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,0.95,111,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart attack,ami-1,heart attack patients given aspirin at arrival,1,134,yes
st vincents blount,oneonta,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,1,7,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart attack,ami-1,heart attack patients given aspirin at arrival,0.98,185,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,0.6,5,no
dale medical center,ozark,al,government - hospital district or authority,heart attack,ami-1,heart attack patients given aspirin at arrival,1,11,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart attack,ami-1,heart attack patients given aspirin at arrival,0.97,33,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart attack,ami-1,heart attack patients given aspirin at arrival,0.9,10,no
community hospital inc,tallassee,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,0.77,13,yes
southwest alabama medical center,thomasville,al,government - federal,heart attack,ami-1,heart attack patients given aspirin at arrival,0,0,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart attack,ami-1,heart attack patients given aspirin at arrival,0.92,24,yes
wedowee hospital,wedowee,al,government - local,heart attack,ami-1,heart attack patients given aspirin at arrival,0.5,4,no
northwest medical center,winfield,al,proprietary,heart attack,ami-1,heart attack patients given aspirin at arrival,1,11,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart attack,ami-2,heart attack patients given aspirin at discharge,0.97,208,yes
andalusia regional hospital,andalusia,al,proprietary,heart attack,ami-2,heart attack patients given aspirin at discharge,0.6,5,no
stringfellow memorial hospital,anniston,al,proprietary,heart attack,ami-2,heart attack patients given aspirin at discharge,0.96,73,yes
yukon kuskokwim delta reg hospital,bethel,ak,government - federal,heart attack,ami-2,heart attack patients given aspirin at discharge,0,0,no
st vincents hospital,birmingham,al,voluntary non-profit - other,heart attack,ami-2,heart attack patients given aspirin at discharge,0.98,260,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,0.96,295,yes
university of alabama hospital,birmingham,al,government - state,heart attack,ami-2,heart attack patients given aspirin at discharge,0.98,316,yes
callahan eye foundation hospital,birmingham,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,0,0,yes
marshall medical center south,boaz,al,government - hospital district or authority,heart attack,ami-2,heart attack patients given aspirin at discharge,0.6,5,yes
cherokee medical center,centre,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,1,1,yes
chilton medical center,clanton,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,1,1,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart attack,ami-2,heart attack patients given aspirin at discharge,1,26,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart attack,ami-2,heart attack patients given aspirin at discharge,0.99,516,yes
elba general hospital,elba,al,voluntary non-profit - other,heart attack,ami-2,heart attack patients given aspirin at discharge,0,0,yes
medical center enterprise,enterprise,al,proprietary,heart attack,ami-2,heart attack patients given aspirin at discharge,1,1,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart attack,ami-2,heart attack patients given aspirin at discharge,1,12,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart attack,ami-2,heart attack patients given aspirin at discharge,0.96,247,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart attack,ami-2,heart attack patients given aspirin at discharge,0.95,39,yes
gadsden regional medical center,gadsden,al,proprietary,heart attack,ami-2,heart attack patients given aspirin at discharge,0.99,134,yes
riverview regional medical center,gadsden,al,proprietary,heart attack,ami-2,heart attack patients given aspirin at discharge,1,145,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,0.5,16,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart attack,ami-2,heart attack patients given aspirin at discharge,1,6,yes
marion regional medical center,hamilton,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,0.67,3,yes
hartselle medical center,hartselle,al,proprietary,heart attack,ami-2,heart attack patients given aspirin at discharge,1,1,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart attack,ami-2,heart attack patients given aspirin at discharge,1,323,yes
crenshaw community hospital,luverne,al,government - federal,heart attack,ami-2,heart attack patients given aspirin at discharge,1,1,yes
univ of south alabama medical center,mobile,al,government - state,heart attack,ami-2,heart attack patients given aspirin at discharge,0.97,91,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,0.92,165,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart attack,ami-2,heart attack patients given aspirin at discharge,1,282,yes
st vincents blount,oneonta,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,1,2,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart attack,ami-2,heart attack patients given aspirin at discharge,0.97,290,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,0.5,2,no
dale medical center,ozark,al,government - hospital district or authority,heart attack,ami-2,heart attack patients given aspirin at discharge,1,5,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,1,4,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart attack,ami-2,heart attack patients given aspirin at discharge,0.92,13,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart attack,ami-2,heart attack patients given aspirin at discharge,1,3,no
community hospital inc,tallassee,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,1,4,yes
southwest alabama medical center,thomasville,al,government - federal,heart attack,ami-2,heart attack patients given aspirin at discharge,0,0,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart attack,ami-2,heart attack patients given aspirin at discharge,0.9,10,yes
wedowee hospital,wedowee,al,government - local,heart attack,ami-2,heart attack patients given aspirin at discharge,0.67,3,no
northwest medical center,winfield,al,proprietary,heart attack,ami-2,heart attack patients given aspirin at discharge,1,7,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,30,yes
andalusia regional hospital,andalusia,al,proprietary,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,3,no
stringfellow memorial hospital,anniston,al,proprietary,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.93,14,yes
st vincents hospital,birmingham,al,voluntary non-profit - other,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.85,41,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.91,70,yes
university of alabama hospital,birmingham,al,government - state,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.91,87,yes
callahan eye foundation hospital,birmingham,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0,0,yes
marshall medical center south,boaz,al,government - hospital district or authority,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,2,yes
cherokee medical center,centre,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0,0,yes
chilton medical center,clanton,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,1,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.57,3,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.96,71,yes
elba general hospital,elba,al,voluntary non-profit - other,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0,0,yes
medical center enterprise,enterprise,al,proprietary,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0,0,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0,1,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.93,43,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.91,11,yes
gadsden regional medical center,gadsden,al,proprietary,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.89,18,yes
riverview regional medical center,gadsden,al,proprietary,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,25,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,1,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.5,2,yes
marion regional medical center,hamilton,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,1,yes
hartselle medical center,hartselle,al,proprietary,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,1,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.97,77,yes
crenshaw community hospital,luverne,al,government - federal,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0,0,yes
univ of south alabama medical center,mobile,al,government - state,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,22,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.79,24,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,53,yes
st vincents blount,oneonta,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,2,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.93,72,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0,0,no
dale medical center,ozark,al,government - hospital district or authority,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0,0,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.67,3,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.75,4,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,1,no
community hospital inc,tallassee,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,1,yes
southwest alabama medical center,thomasville,al,government - federal,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0,0,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,1,yes
wedowee hospital,wedowee,al,government - local,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0,0,no
northwest medical center,winfield,al,proprietary,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,2,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,98,yes
andalusia regional hospital,andalusia,al,proprietary,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0,0,no
stringfellow memorial hospital,anniston,al,proprietary,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,29,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,131,yes
university of alabama hospital,birmingham,al,government - state,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,147,yes
st vincents hospital,birmingham,al,voluntary non-profit - other,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,63,yes
callahan eye foundation hospital,birmingham,al,voluntary non-profit - private,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0,0,yes
marshall medical center south,boaz,al,government - hospital district or authority,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0,0,yes
cherokee medical center,centre,al,voluntary non-profit - private,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0,0,yes
chilton medical center,clanton,al,voluntary non-profit - private,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0,0,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,3,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,244,yes
elba general hospital,elba,al,voluntary non-profit - other,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0,0,yes
medical center enterprise,enterprise,al,proprietary,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0,0,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,1,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,103,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,14,yes
riverview regional medical center,gadsden,al,proprietary,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,68,yes
gadsden regional medical center,gadsden,al,proprietary,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,79,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0.33,6,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,2,yes
marion regional medical center,hamilton,al,voluntary non-profit - private,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0,0,yes
hartselle medical center,hartselle,al,proprietary,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,2,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,135,yes
crenshaw community hospital,luverne,al,government - federal,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0,0,yes
univ of south alabama medical center,mobile,al,government - state,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,58,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,119,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0.97,65,yes
st vincents blount,oneonta,al,voluntary non-profit - private,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0,0,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,122,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0,0,no
dale medical center,ozark,al,government - hospital district or authority,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,3,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0,0,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,4,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0,0,no
community hospital inc,tallassee,al,voluntary non-profit - private,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0,0,yes
southwest alabama medical center,thomasville,al,government - federal,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0,0,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0.5,4,yes
wedowee hospital,wedowee,al,government - local,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0,0,no
northwest medical center,winfield,al,proprietary,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1,1,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.97,169,yes
andalusia regional hospital,andalusia,al,proprietary,heart attack,ami-5,heart attack patients given beta blocker at discharge,1,6,no
stringfellow memorial hospital,anniston,al,proprietary,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.93,67,yes
st vincents hospital,birmingham,al,voluntary non-profit - other,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.96,242,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.99,288,yes
university of alabama hospital,birmingham,al,government - state,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.97,331,yes
callahan eye foundation hospital,birmingham,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,0,0,yes
marshall medical center south,boaz,al,government - hospital district or authority,heart attack,ami-5,heart attack patients given beta blocker at discharge,1,5,yes
cherokee medical center,centre,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,0,0,yes
chilton medical center,clanton,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,1,1,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart attack,ami-5,heart attack patients given beta blocker at discharge,1,23,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.99,441,yes
elba general hospital,elba,al,voluntary non-profit - other,heart attack,ami-5,heart attack patients given beta blocker at discharge,0,0,yes
medical center enterprise,enterprise,al,proprietary,heart attack,ami-5,heart attack patients given beta blocker at discharge,1,2,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.82,11,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.96,227,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.95,41,yes
gadsden regional medical center,gadsden,al,proprietary,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.95,117,yes
riverview regional medical center,gadsden,al,proprietary,heart attack,ami-5,heart attack patients given beta blocker at discharge,1,125,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.6,15,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.83,6,yes
marion regional medical center,hamilton,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.33,3,yes
hartselle medical center,hartselle,al,proprietary,heart attack,ami-5,heart attack patients given beta blocker at discharge,1,3,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart attack,ami-5,heart attack patients given beta blocker at discharge,1,301,yes
crenshaw community hospital,luverne,al,government - federal,heart attack,ami-5,heart attack patients given beta blocker at discharge,0,1,yes
univ of south alabama medical center,mobile,al,government - state,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.96,96,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.95,173,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart attack,ami-5,heart attack patients given beta blocker at discharge,1,254,yes
st vincents blount,oneonta,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,1,3,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.98,281,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,1,2,no
dale medical center,ozark,al,government - hospital district or authority,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.83,6,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,1,5,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.86,14,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart attack,ami-5,heart attack patients given beta blocker at discharge,1,4,no
community hospital inc,tallassee,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.75,4,yes
southwest alabama medical center,thomasville,al,government - federal,heart attack,ami-5,heart attack patients given beta blocker at discharge,0,0,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.92,13,yes
wedowee hospital,wedowee,al,government - local,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.67,3,no
northwest medical center,winfield,al,proprietary,heart attack,ami-5,heart attack patients given beta blocker at discharge,1,8,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
andalusia regional hospital,andalusia,al,proprietary,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,no
stringfellow memorial hospital,anniston,al,proprietary,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,1,yes
university of alabama hospital,birmingham,al,government - state,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
callahan eye foundation hospital,birmingham,al,voluntary non-profit - private,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
marshall medical center south,boaz,al,government - hospital district or authority,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
cherokee medical center,centre,al,voluntary non-profit - private,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
chilton medical center,clanton,al,voluntary non-profit - private,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
elba general hospital,elba,al,voluntary non-profit - other,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
medical center enterprise,enterprise,al,proprietary,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,1,1,yes
