DBA_Name,Facility_Type,Risk,Address,State,Zip,Inspection_Type,Latitude,Longitude,Results
IVY GARDEN COMMUNITY CENTER,ADULT DAYCARE,Risk 1 (High),2929 S HALSTED ST ,IL,60608.0,Canvass,41.84079081861273,-87.6461984267589,Pass
S & T PROVISION CO.,Grocery Store,Risk 1 (High),3804 W 111TH ST ,IL,60655.0,Canvass,41.69144591028577,-87.71567310388504,Pass
QUEEN OF ANGELS SCHOOL,School,Risk 1 (High),4520 N WESTERN AVE ,IL,60625.0,Canvass,41.96379928313908,-87.68890300567264,Pass
CELLARS MARKET,Restaurant,Risk 1 (High),141 W JACKSON BLVD ,IL,60604.0,Canvass Re-Inspection,41.87802565526084,-87.63206228626694,Pass
MAKKI MART CORP,Grocery Store,Risk 2 (Medium),2440 W DEVON AVE ,IL,60659.0,Complaint,41.99781439642854,-87.69150610963688,Fail
Food 4 Less Midwest #552,Grocery Store,Risk 1 (High),7030 S ASHLAND AVE ,IL,60636.0,Complaint,41.765790770431856,-87.66396688645494,Fail
BYRD'S HOT CHICKEN,Restaurant,Risk 1 (High),2634 N CLARK ST ,IL,60614.0,Canvass Re-Inspection,41.93051755890429,-87.64394893189049,Pass
LA BARCA LLC,Restaurant,Risk 1 (High),3109 W 59TH ST ,IL,60629.0,Canvass,41.78616917355217,-87.70133427063364,Pass
BURGER KING #25272,Restaurant,Risk 2 (Medium),7558 S ASHLAND AVE ,IL,60620.0,Complaint,41.75587502951706,-87.6637241939927,Fail
SUBWAY # 6010,Restaurant,Risk 1 (High),8145 S PULASKI RD ,IL,60652.0,License,41.74447216541511,-87.72160213082438,Pass
BIG STAR MARISCOS,Restaurant,Risk 1 (High),543-551 N OGDEN AVE ,IL,60642.0,Canvass,41.89214682371725,-87.65793601975278,Pass
THE REVIVAL,THEATER,Risk 3 (Low),906 S WABASH AVE ,IL,60619.0,License,41.87034034220947,-87.62604816585652,Pass w/ Conditions
JOE'S & KEN'S II,Restaurant,Risk 1 (High),1461 E HYDE PARK BLVD ,IL,60615.0,Canvass,41.80234131701212,-87.58937243573278,Pass
Hannah G.Solomon Elementary  School,School,Risk 1 (High),6206 N HAMLIN AVE ,IL,60659.0,Canvass,41.99397006658641,-87.7240799059587,Pass
JIMMY JOHNS,Restaurant,Risk 1 (High),201 W MADISON ST ,IL,60606.0,Canvass,41.88183546590968,-87.63389738860116,Pass
OUTDOOR CAFE,Restaurant,Risk 1 (High),3257 W BRYN MAWR AVE ,IL,60659.0,Canvass Re-Inspection,41.98293113357383,-87.71115251272501,Pass
VILLA ROSA ON ARCHER,Restaurant,Risk 1 (High),5786 S ARCHER AVE ,IL,60638.0,Canvass Re-Inspection,41.79651794655111,-87.75791779651013,Pass w/ Conditions
IDOF FRESH MEDITERRANEAN,Restaurant,Risk 1 (High),555 W MONROE ST ,IL,60661.0,Canvass,41.880447908791545,-87.64183897534404,Pass
FLIK INTERNATIONAL,Restaurant,Risk 1 (High),525 W MONROE ST ,IL,60661.0,Canvass,41.88046314707847,-87.64080388427809,Pass
KINGS KIDDIE KINGDOM III,Children's Services Facility,Risk 1 (High),207-209 E 79TH ST ,IL,60619.0,Canvass,41.750930698375846,-87.61942809693257,Pass
COMMUNITY CREAMERY,Mobile Food Dispenser,Risk 3 (Low),3335 S JUSTINE ST ,IL,60608.0,License,41.83313790275089,-87.66421786301464,Pass
LEMONS ENTERPRISES INC.,Restaurant,Risk 1 (High),311 E 75TH ST ,IL,60619.0,Canvass,41.7582508065721,-87.61779767256006,Pass
CHIPOTLE MEXICAN GRILL,Restaurant,Risk 1 (High),8 E MADISON ST ,IL,60602.0,Canvass,41.88217262294575,-87.62756936298685,Pass
CARBON ON CHICAGO,Restaurant,Risk 1 (High),810 N MARSHFIELD AVE ,IL,60622.0,Canvass,41.89641175668324,-87.66867222719841,Pass
POTBELLY SANDWICH WORKS LLC,Restaurant,Risk 1 (High),3424 N SOUTHPORT AVE ,IL,60657.0,Canvass,41.9441664817515,-87.66408481161898,Pass
CIELO'S CANTINA,Restaurant,Risk 1 (High),5700 S CICERO AVE ,IL,60638.0,Canvass,41.78932932326538,-87.74164564419638,Pass
THE EMILY HOTEL,Restaurant,Risk 1 (High),311-319 N MORGAN ST ,IL,60607.0,Canvass,41.88712191392366,-87.65203575962191,Pass
BABA'S FAMOUS STEAK AND LEMONADE,Restaurant,Risk 1 (High),7859 S STATE ST ,IL,60619.0,Complaint,41.75100958028992,-87.62440141614083,Pass
BYRD'S HOT CHICKEN,Restaurant,Risk 1 (High),2634 N CLARK ST ,IL,60614.0,Canvass,41.93051755890429,-87.64394893189049,Fail
THREE HAPPINESS RESTAURANT,Restaurant,Risk 1 (High),209 W CERMAK RD ,IL,60616.0,Complaint,41.85273605598148,-87.63244396717785,Fail
THE LEARNING CIRCLE,Daycare (2 - 6 Years),Risk 1 (High),4250 W 63RD ST ,IL,60629.0,Canvass,41.77868468007933,-87.72968092344976,Pass
SUBWAY / JAY SHREE INC,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,IL,60601.0,Canvass,41.886567370886944,-87.62438467059714,Pass w/ Conditions
CERES CAFE,Restaurant,Risk 1 (High),141 W JACKSON BLVD ,IL,60604.0,Canvass,41.87802565526084,-87.63206228626694,Pass w/ Conditions
SHINJU SUSHI JAPANESE RESTAURANT LLC,Restaurant,Risk 1 (High),1375 E 53RD ST ,IL,60615.0,Complaint,41.799399262112864,-87.59208770728569,Pass
THE CLARK STREET DOG,Restaurant,Risk 1 (High),3040 N CLARK ST ,IL,60657.0,Canvass,41.93741731854895,-87.6487956064543,Pass
WINGSTOP,Restaurant,Risk 1 (High),1521 E 87TH ST ,IL,60619.0,Canvass,41.736782316890434,-87.58712604619032,Pass
CAMBDEN FOODS CO.,Restaurant,Risk 1 (High),5700 S CICERO AVE ,IL,60638.0,Canvass,41.78932932326538,-87.74164564419638,Pass
CARNICERIA RUIZ INC,Grocery Store,Risk 1 (High),3001 N KEDZIE AVE ,IL,60618.0,Canvass,41.935791573062026,-87.70738433276505,Pass
BURGER KING #215,Restaurant,Risk 2 (Medium),6261-6265 N LINCOLN AVE ,IL,60659.0,Complaint,41.99570960302507,-87.71579472135497,Pass w/ Conditions
HOME RUN INN,Restaurant,Risk 1 (High),5700 S CICERO AVE ,IL,60638.0,Canvass,41.78932932326538,-87.74164564419638,Pass
BEATRIX,Restaurant,Risk 1 (High),834-842 W FULTON MARKET ,IL,60607.0,Canvass,41.88689053177296,-87.64882281750185,Pass
WingStop,Restaurant,Risk 1 (High),2344 W CERMAK RD ,IL,60608.0,Canvass,41.8521436196765,-87.68504520753409,Pass
HUA'S CHINESE CHOP SUEY EXPRESS,Restaurant,Risk 1 (High),3014 E 91ST ST ,IL,60617.0,Complaint,41.73019625893932,-87.55056370298759,Pass
CAFE L'APPETITIO,Restaurant,Risk 1 (High),251 E HURON ST ,IL,60611.0,Canvass,41.89490330235543,-87.62074372623964,Pass
SMOTHIE RX INC.,Restaurant,Risk 1 (High),1503 S MICHIGAN AVE ,IL,60605.0,Canvass,41.86183110633302,-87.62387912993134,Pass w/ Conditions
PROTEIN BAR,Restaurant,Risk 1 (High),251 E HURON ST ,IL,60611.0,Canvass,41.89490330235543,-87.62074372623964,Pass
De La Salle Institute,School,Risk 1 (High),3434 S MICHIGAN AVE ,IL,60616.0,Canvass Re-Inspection,41.83181855508628,-87.6234218319199,Pass
HANNAH'S BRETZEL 161 N. CLARK LLC,Restaurant,Risk 1 (High),161 N Clark ST BLDG ,IL,60601.0,Canvass,41.88477970462645,-87.63080066748627,Pass
PITA EXPRESS LLC,Restaurant,Risk 1 (High),4649 N DAMEN AVE ,IL,60625.0,Complaint Re-Inspection,41.96658294635103,-87.67897535059605,Pass
BIRRIERIA Y TAQUERIA LOPEZ,Restaurant,Risk 1 (High),2705 W 59TH ST ,IL,60629.0,Canvass,41.78633316306286,-87.69139683711298,Pass
McCUTCHEON BRANCH,School,Risk 1 (High),4850 N KENMORE ,IL,60640.0,Canvass,41.97055818444942,-87.65640263623298,Pass w/ Conditions
SEE THRU CHINESE KITCHEN #13,Restaurant,Risk 1 (High),1610 W 59TH ST ,IL,60636.0,Canvass,41.78684859598614,-87.66489347191944,Fail
WESO,Restaurant,Risk 1 (High),6695-6699 N NORTHWEST HWY ,IL,60631.0,License,42.00274186284378,-87.81586895792563,Fail
CHICAGO Q,Restaurant,Risk 1 (High),1160 N DEARBORN ST ,IL,60610.0,Complaint Re-Inspection,41.90367478181266,-87.63012582397081,Pass
SUBWAY,Restaurant,Risk 1 (High),5357 N LINCOLN AVE ,IL,60625.0,Canvass Re-Inspection,41.97941114420321,-87.69254008306778,Pass
J & C FOOD MARKET INC,Grocery Store,Risk 1 (High),3404 W IRVING PARK RD ,IL,60618.0,Canvass,41.95396326056626,-87.71313765408152,Pass
BIG TONY'S,Restaurant,Risk 1 (High),5611 W CORCORAN PL ,IL,60644.0,Canvass,41.88710406957976,-87.76560081794615,Fail
KEMIT ACADEMY INCORPORATED,Children's Services Facility,Risk 1 (High),5106 S DORCHESTER AVE ,IL,60615.0,Canvass,41.80216092459416,-87.59199580906565,Pass
GHAREEB NAWAZ,Restaurant,Risk 1 (High),2364 N LINCOLN AVE ,IL,60614.0,Complaint,41.92497070164917,-87.64830656797486,Fail
LAKESHORE SPORT & FITNESS,Restaurant,Risk 1 (High),211 N STETSON AVE ,IL,60601.0,Canvass,41.886027277677655,-87.62216627091873,Pass
SUBWAY,Restaurant,Risk 1 (High),1958 W CHICAGO AVE ,IL,60622.0,Canvass,41.89602257135778,-87.67699521638754,Pass
LA MICHOACANA AZTECA,Restaurant,Risk 1 (High),8055 S CICERO AVE ,IL,60652.0,Canvass,41.74606755738772,-87.74110321608559,Pass
JIEYI SUSHI,Restaurant,Risk 1 (High),1178 N MILWAUKEE AVE ,IL,60642.0,Canvass Re-Inspection,41.9031191187319,-87.66633652567221,Pass
WATERS ELEMENTARY,School,Risk 1 (High),4540 N Campbell AVE ,IL,60625.0,Canvass,41.964348354445896,-87.69136881312389,Pass
AIN'T SHE SWEET CAFE BEVERLY,Restaurant,Risk 1 (High),9920 S WESTERN AVE ,IL,60643.0,Canvass,41.713013336357946,-87.68196971044577,Pass
IMPERIAL RESTAURANT,Restaurant,Risk 1 (High),2100 S ARCHER AVE ,IL,60616.0,Complaint,41.85433395414341,-87.63204756042013,Fail
PIONEER GARDENS,Assisted Living Senior Care,Risk 1 (High),3800 S DR MARTIN LUTHER KING JR DR ,IL,60653.0,Canvass,41.82555599761034,-87.61717841809923,Pass
RESURRECTION HIGH SCHOOL,School,Risk 1 (High),7500 W TALCOTT ,IL,60631.0,Canvass,41.98946579936816,-87.81421066629488,Fail
SEE THRU CHINESE KITCHEN #19,Restaurant,Risk 1 (High),4318 S ASHLAND AVE ,IL,60609.0,Canvass Re-Inspection,41.81527155655249,-87.66528690980383,Pass
GUNSAULUS ELEMENTARY,School,Risk 1 (High),4420 S Sacramento ,IL,60632.0,Canvass,41.81299531397878,-87.69940042452404,Pass
SOUTHWOOD INTERVENTIONS,Restaurant,Risk 1 (High),5701 S WOOD ST ,IL,60636.0,Canvass,41.79024341786955,-87.66919580810715,Fail
BABA'S FAMOUS STEAK AND LEMONADE,Restaurant,Risk 1 (High),3407 1/2 W MADISON ST ,IL,60624.0,Complaint,41.8808046152,-87.71137549591673,Fail
MAXWELL CHARCOAL GRILL,Restaurant,Risk 1 (High),8637 S ASHLAND AVE ,IL,60620.0,Canvass,41.73650528840047,-87.6629352326755,Pass w/ Conditions
SHOP & SAVE MARKET #2100,Grocery Store,Risk 1 (High),6312 N NAGLE AVE ,IL,60646.0,Canvass,41.99598528606219,-87.78763711707087,Pass w/ Conditions
TACO MAYA,Restaurant,Risk 1 (High),823 S STATE ST ,IL,60605.0,Canvass Re-Inspection,41.87148772638832,-87.62736964313439,Pass
POPE JOHN PAUL CATHOLIC,School,Risk 1 (High),4325 S RICHMOND ST ,IL,60632.0,Complaint,41.814723634239286,-87.69794253337162,Fail
SUBWAY,Restaurant,Risk 1 (High),3021 N CLARK ST ,IL,60657.0,Short Form Complaint,41.93704235000386,-87.64814829224737,Pass
JEWEL FOOD STORE #3176,Grocery Store,Risk 1 (High),9400 S ASHLAND AVE ,IL,60620.0,Canvass,41.72294121820967,-87.66286287127303,Pass w/ Conditions
ARNOLD MIRELES SCHOOL,School,Risk 1 (High),9000 S EXCHANGE ,IL,60617.0,Canvass Re-Inspection,41.73168216611453,-87.5528237263102,Fail
SIMPLY SOUPS SALADS & SANDWICHES,Restaurant,Risk 1 (High),635 E 47TH ST ,IL,60653.0,Canvass,41.80937219124071,-87.61014589939184,Pass w/ Conditions
LEE ELEMENTARY,School,Risk 1 (High),6448 S Tripp (4232W) ,IL,60629.0,Canvass Re-Inspection,41.775328312329904,-87.72892174006991,Pass
VEE-VEE'S AFRICAN RESTAURANT,Restaurant,Risk 1 (High),6232 N BROADWAY ,IL,60660.0,Canvass Re-Inspection,41.995515636076725,-87.66058139230817,Pass
NOODLES ETC,Restaurant,Risk 1 (High),1333 E 57TH ST ,IL,60637.0,Canvass,41.79136761733113,-87.5934568825423,Pass
TAKIBI,Restaurant,Risk 1 (High),6803 N SHERIDAN RD ,IL,60626.0,Canvass,42.00568707320046,-87.66080017921671,Pass
JERK & SOUL FOOD LLC,Restaurant,Risk 1 (High),17 W 35TH ST ,IL,60616.0,Canvass,41.83089083505026,-87.62723820487749,Fail
PAPACITO'S MEXICAN GRILLE,Restaurant,Risk 1 (High),2960 N LINCOLN AVE ,IL,60657.0,Canvass,41.935608735131694,-87.66319302170307,Pass
BARRACO'S PIZZA,Restaurant,Risk 1 (High),3043-3047 W 111TH ST ,IL,60655.0,Canvass,41.691495324148114,-87.69778040132009,Pass
HAPPY DAY TAVERN,Restaurant,Risk 3 (Low),4342 N ELSTON AVE ,IL,60641.0,License,41.959629403548185,-87.72802874412304,Pass
"COMPASS GROUP USA, INC.",Restaurant,Risk 1 (High),540 W MADISON ST ,IL,60661.0,Canvass,41.881966448755705,-87.64127582547708,Pass w/ Conditions
EUREST DINING AT ACCENTURE,Restaurant,Risk 1 (High),500 W MADISON ST ,IL,60661.0,Complaint,41.88199433820508,-87.6397586848809,Pass
DOMINO'S PIZZA,Restaurant,Risk 2 (Medium),4323 S ASHLAND AVE ,IL,60609.0,Canvass Re-Inspection,41.81522282894944,-87.66499165558884,Pass
MCDONALD'S,Restaurant,Risk 2 (Medium),3610 N CLARK ST ,IL,60613.0,Complaint,41.94745757407912,-87.65689136051212,Pass
T & K AFRICAN KITCHEN AND GROCERY STORE,Restaurant,Risk 1 (High),2955 E 87TH ST ,IL,60617.0,Canvass Re-Inspection,41.73726138899428,-87.55196161577,No Entry
"ZACATACOS, II. INC",Restaurant,Risk 1 (High),3949 W 71ST ST ,IL,60629.0,Short Form Complaint,41.76399366461389,-87.72208036368175,Pass
SIDE STREET SALOON,Restaurant,Risk 1 (High),1456 W GEORGE ST ,IL,60657.0,Canvass Re-Inspection,41.93437222240679,-87.66585652139574,Pass
DAVIS ELEMENTARY (ANNEX),School,Risk 1 (High),3050 W 39TH PL ,IL,60632.0,Canvass,41.82185442077332,-87.7016095657443,Pass
J.T.'S GENUINE SANDWICH,Restaurant,Risk 1 (High),3970 N ELSTON AVE ,IL,60618.0,Canvass,41.95337788158545,-87.71884823371836,Pass
CORNERSTONE CAFE-LINCOLN PARK,Restaurant,Risk 1 (High),2200-2202 N CLYBOURN AVE ,IL,60614.0,Canvass,41.92158137321288,-87.6645651292835,Fail
JANE ADDAMS ELEMENTARY,School,Risk 1 (High),10810 S AVENUE H ,IL,60617.0,Canvass Re-Inspection,41.69871496816594,-87.5330125051882,Pass
CHISOX BAR & GRILL,Restaurant,Risk 1 (High),320 W 35TH ST ,IL,60616.0,License,41.83100808816173,-87.63493248572952,Fail
MARIANO'S #8539,Grocery Store,Risk 1 (High),3857 S DR MARTIN LUTHER KING JR DR ,IL,60653.0,Short Form Complaint,41.82398325151479,-87.61685389078539,Fail
ALDI,Grocery Store,Risk 3 (Low),3930 N KILPATRICK AVE ,IL,60641.0,License,41.95255379501349,-87.7447318048088,Pass w/ Conditions
THE GREAT AMERICAN BAGEL,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,IL,60666.0,Canvass,42.00875076599798,-87.9068741340011,Pass
ST. HELEN SCHOOL,School,Risk 1 (High),2347 W Augusta BLVD ,IL,60622.0,Canvass,41.89927824750087,-87.68635506651948,Fail
SEOUL TACO,Restaurant,Risk 1 (High),1321 E 57TH ST ,IL,60637.0,Canvass,41.79136232333156,-87.59394375677408,Pass w/ Conditions
MEANINGFUL MILESTONES,Children's Services Facility,Risk 1 (High),2922-2930 N CAMPBELL AVE ,IL,60618.0,License,41.93468058761312,-87.69050919054251,Fail
CHIPOTLE,Restaurant,Risk 1 (High),1132 S CLINTON ST ,IL,60607.0,Complaint,41.86797280510883,-87.64089225688473,Pass
BON APPETIT @ UBER,Restaurant,Risk 1 (High),433 W VAN BUREN ST ,IL,60607.0,Canvass,41.8766674323542,-87.63917766411434,Pass
CALDWELL ELEMENTARY,School,Risk 1 (High),8546 S CREGIER AVE ,IL,60617.0,Canvass Re-Inspection,41.73922734643187,-87.58076568835872,Pass
COREY'S NYC BAGEL DELI,Restaurant,Risk 1 (High),1001 W NORTH AVE ,IL,60622.0,Canvass,41.910729292099305,-87.65315262189527,Pass w/ Conditions
"NEW HONG KONG BUFFET, INC",Restaurant,Risk 1 (High),6249 N MCCORMICK RD ,IL,60659.0,Complaint,41.99544060218509,-87.71291737890452,Fail
KABOBI,Restaurant,Risk 1 (High),4748 N KEDZIE AVE ,IL,60625.0,Complaint,41.96807735259296,-87.70860691495594,Pass w/ Conditions
M. HENRY,Restaurant,Risk 1 (High),5705-5707 N CLARK ST ,IL,60660.0,Canvass,41.98559673197454,-87.66907264871382,Fail
LOS MANGOS #9 INC.,Restaurant,Risk 1 (High),3551 W 26TH ST ,IL,60623.0,Canvass,41.84428141915479,-87.7143858641657,Pass w/ Conditions
SUPER STAR & GYROS,Restaurant,Risk 1 (High),1157-1159 W 47TH ST ,IL,60609.0,Canvass,41.80862762829546,-87.6550409143026,Pass w/ Conditions
"HO HO CHOP SUEY-CHICAGO,INC",Restaurant,Risk 1 (High),7908 S HALSTED ST ,IL,60620.0,Canvass Re-Inspection,41.75032238740821,-87.64418240605828,Pass
NIGERIAN KITCHEN INCORPORATED,Restaurant,Risk 1 (High),4447 N BROADWAY ,IL,60640.0,Complaint,41.96303977463407,-87.65580016845335,Fail
"PENINSULA CHICAGO, LLC",Restaurant,Risk 1 (High),108 E SUPERIOR ST ,IL,60611.0,Canvass,41.89583963820686,-87.6249881413158,Pass
"PENINSULA CHICAGO, LLC",Restaurant,Risk 1 (High),108 E SUPERIOR ST ,IL,60611.0,Canvass,41.89583963820686,-87.6249881413158,Pass
SEAFOOD SHACK & STEAK MARKET ON STONY INC.,Restaurant,Risk 1 (High),7005 S STONY ISLAND AVE ,IL,60649.0,Canvass Re-Inspection,41.767690177427895,-87.58581696689619,Pass
ANN SATHER'S CAFE,Restaurant,Risk 1 (High),3415 N BROADWAY ,IL,60657.0,Canvass,41.94380970211237,-87.64495107447183,Pass
PIZANO'S PIZZA & PASTA,Restaurant,Risk 1 (High),864 N STATE ST ,IL,60610.0,Canvass Re-Inspection,41.89857770509812,-87.62839827393353,Pass
TANOSHI SUSHI MIKES,Restaurant,Risk 1 (High),5547 N CLARK ST ,IL,60640.0,Complaint,41.98309881120602,-87.66852394399494,Fail
MARISCOS ALMADA,Restaurant,Risk 1 (High),9485 S EWING AVE ,IL,60617.0,Canvass,41.72306412598412,-87.53647144222067,Pass
SUBWAY SANDWICHES & SALAD,Restaurant,Risk 1 (High),1762 N CLYBOURN AVE ,IL,60614.0,Canvass,41.91312967196079,-87.6528173045042,Pass
POPEYE'S #832,Restaurant,Risk 1 (High),6340 N BROADWAY ,IL,60660.0,Complaint,41.99759055792071,-87.66063912272915,Fail
LITTLE SCHOLARS LEARNING CENTER,Children's Services Facility,Risk 1 (High),6116 W IRVING PARK RD ,IL,60634.0,License,41.953112724409,-87.78001857406198,Pass
GEORGE WASHINGTON ELEMENTARY,School,Risk 1 (High),3611 E 114TH ST ,IL,60617.0,Canvass Re-Inspection,41.68810402658728,-87.53600984519431,Pass
GERALD DELGADO KANOON ELEMENTARY,School,Risk 1 (High),2233 S Kedzie (3200W) ,IL,60623.0,Canvass Re-Inspection,41.85077574719225,-87.70507546845604,Pass
ROTI MODERN MEDITERRANEAN,Restaurant,Risk 1 (High),80 E LAKE ST ,IL,60601.0,Canvass,41.88584720870456,-87.62509485736301,Fail
CULVER'S OF MIDWAY,Restaurant,Risk 1 (High),6541 S CICERO AVE ,IL,60638.0,Canvass,41.77356469611211,-87.74197431179459,Pass
PECK ELEMENTARY SCHOOL,School,Risk 1 (High),3826 W 58th ST ,IL,60629.0,Canvass,41.78792632341754,-87.71922211426184,Pass
POTBELLY SANDWICH WORKS,Restaurant,Risk 1 (High),545 W MADISON ST ,IL,60661.0,Canvass,41.881742104561965,-87.64141938928785,Fail
ST. ANNA BAKERY,Bakery,Risk 1 (High),2158 S ARCHER AVE ,IL,60616.0,Complaint,41.85333880056992,-87.634105879639,Fail
CAMELOT EXCEL SOUTHWEST,School,Risk 1 (High),7050 S WASHTENAW AVE ,IL,60629.0,Canvass,41.76489238953262,-87.69073935570644,Pass
KIDS + COMPANY,Children's Services Facility,Risk 1 (High),847 W JACKSON BLVD ,IL,60607.0,License,41.8778102002359,-87.64902370821919,Pass
CHICAGO WAFFLES,Restaurant,Risk 1 (High),1400 S MICHIGAN AVE ,IL,60605.0,Canvass Re-Inspection,41.86400154354981,-87.62422572913971,Pass w/ Conditions
SUBWAY,Restaurant,Risk 1 (High),615 W LAKE ST ,IL,60661.0,Canvass,41.88559449266443,-87.64346245829006,Pass
GOETHE ELEMENTARY SCHOOL,School,Risk 1 (High),2236 N Rockwell ,IL,60647.0,Canvass Re-Inspection,41.92282820004503,-87.69293637462862,Fail
GORDILLAS,Restaurant,Risk 1 (High),5734 S PULASKI RD ,IL,60629.0,Canvass Re-Inspection,41.788553458665646,-87.72317448804466,Pass w/ Conditions
PETERSON ELEMENTARY SCHOOL,School,Risk 1 (High),5510 N Christiana ST ,IL,60625.0,Canvass Re-Inspection,41.981580414778016,-87.71261988426222,Fail
"FERRERO U.S.A., INC.",Restaurant,Risk 1 (High),151 N MICHIGAN AVE ,IL,60601.0,Canvass,41.88454011059238,-87.62430852246028,Pass
APOLONIA,Restaurant,Risk 1 (High),105 E CERMAK RD ,IL,60616.0,Complaint Re-Inspection,41.85276061420687,-87.62356492482809,Pass
DAWES ELEMENTARY,School,Risk 1 (High),3810 W 81st Pl ,IL,60652.0,Canvass,41.74510466861128,-87.71738612923383,Pass w/ Conditions
JOHN C. HAINES ELEMENTARY SCHOOL,School,Risk 1 (High),247 W 23RD PL ,IL,60616.0,Canvass Re-Inspection,41.849931155433175,-87.63378596064732,Pass
SU CASA,Restaurant,Risk 1 (High),49 E ONTARIO ST ,IL,60611.0,Complaint Re-Inspection,41.89319255965124,-87.62617281400281,Pass
FADO IRISH PUB,Restaurant,Risk 1 (High),100 W GRAND AVE ,IL,60610.0,Canvass,41.89173502037917,-87.63120168879202,Fail
JIMMY JOHN'S,Restaurant,Risk 1 (High),1250 S MICHIGAN AVE ,IL,60605.0,Canvass,41.86607358683167,-87.62426767322485,Pass w/ Conditions
LA QUINTA INN AND SUITES,Restaurant,Risk 1 (High),1 S FRANKLIN ST ,IL,60606.0,Canvass,41.881902750505866,-87.6351640597954,Pass
CARNICERIA Y FRUTERIA EL MILAGRITO,Grocery Store,Risk 2 (Medium),5960 W LAWRENCE AVE ,IL,60630.0,License,41.96776480013477,-87.777020204254,Pass
FOXTROT,Restaurant,Risk 2 (Medium),23 W MAPLE ST ,IL,60610.0,Complaint,41.90176190733117,-87.6293413001706,Pass
BACK OF THE YARDS,School,Risk 1 (High),2111 W 47TH ST ,IL,60609.0,Canvass,41.808384423666354,-87.67756963874196,Pass
NICK'S DRIVE INN,Restaurant,Risk 1 (High),7216 N HARLEM AVE ,IL,60631.0,Canvass,42.01225529539423,-87.8067791219124,Fail
DEL SEOUL,Restaurant,Risk 1 (High),2568-2570 N CLARK ST ,IL,60614.0,Complaint,41.92944795929552,-87.64292489047057,Pass
NAF NAF GRILL,Restaurant,Risk 1 (High),1248 S CANAL ,IL,60607.0,Canvass,41.86591278633721,-87.63935117408411,Pass
SUBWAY,Restaurant,Risk 1 (High),6718 S STONY ISLAND AVE ,IL,60649.0,Canvass,41.77272515346843,-87.58644243639392,Pass
HUARACHES HYDE PARK,Restaurant,Risk 1 (High),1611 E 55TH ST ,IL,60615.0,License,41.79507973483173,-87.58712654037625,Pass
EAT FIRST RESTAURANT,Restaurant,Risk 1 (High),3337 W BELMONT AVE ,IL,60618.0,Canvass,41.93919260225543,-87.71156588843112,Pass
FIRESIDE TAVERN AND GRILL,Restaurant,Risk 1 (High),5739-5741 N RAVENSWOOD AVE ,IL,60660.0,Complaint,41.9862308107723,-87.6745413631012,Fail
